first_choice,finalist_choice,weighted_n,resp_n,ratio,model_n
Rocky De La Fuente,Joe Biden,1.025565191,1,0.7673386123602155,0.7869557705468795
Rocky De La Fuente,Donald Trump,2.8840517,2,0.7673386123602155,2.2130442294531205
Howie Hawkins,Exhaust,2.775465218,1,1.016398891754019,2.8209797716770266
Howie Hawkins,Joe Biden,3.682074574,5,1.016398891754019,3.7424565163692516
Howie Hawkins,Donald Trump,2.397251445,3,1.016398891754019,2.436563711953721
Jo Jorgensen,Exhaust,2.107713451,2,1.0363892568407,2.1844115771150374
Jo Jorgensen,Joe Biden,4.518241571,5,1.0363892568407,4.682657023995447
Jo Jorgensen,Donald Trump,3.0229292500000002,3,1.0363892568407,3.132931398889515
Rocky De La Fuente,Exhaust,NA,NA,NA,0
