first_choice,finalist_choice,weighted_n,resp_n,ratio,model_n
Rocky De La Fuente,Joe Biden,2.587522935,3,0.962305337334296,2.4899871308254027
Rocky De La Fuente,Donald Trump,4.686675522,4,0.962305337334296,4.510012869174598
Howie Hawkins,Exhaust,5.717992854999999,4,1.0240407445350712,5.8554576604804165
Howie Hawkins,Joe Biden,8.485657656999999,10,1.0240407445350712,8.689659184944007
Howie Hawkins,Donald Trump,2.397251445,3,1.0240407445350712,2.4548831545755756
Jo Jorgensen,Exhaust,4.571911679,4,1.080630275000628,4.940546174956354
Jo Jorgensen,Joe Biden,5.266136118,6,1.080630275000628,5.6907461213850805
Jo Jorgensen,Donald Trump,10.520441604,12,1.080630275000628,11.368707703658568
Rocky De La Fuente,Exhaust,NA,NA,NA,0
