first_choice,finalist_choice,weighted_n,resp_n,ratio,model_n
Max Linn,Exhaust,3.132845623,4,1.3444787336839896,4.21204431603847
Max Linn,Susan Collins,5.546307355,7,1.3444787336839896,7.456892289272598
Max Linn,Sara Gideon,0.24623922,1,1.3444787336839896,0.33106339468893337
Lisa Savage,Exhaust,7.835242923,9,1.240738400888237,9.721486774853895
Lisa Savage,Susan Collins,9.271698806,10,1.240738400888237,11.503752750073815
Lisa Savage,Sara Gideon,28.027471746,37,1.240738400888237,34.774760475072284
